,Date,AMER3.SA,LAME4.SA,MGLU3.SA,AMZO34.SA,^BVSP,SELIC
167,2005-12-27,36.29736328125,4143.2607421875,,,33371.0,0.065836
168,2005-12-28,36.120731353759766,4082.47509765625,,,33138.0,0.065836
169,2005-12-29,36.65061950683594,4389.47412109375,,,33456.0,0.06587
170,2006-01-02,37.092193603515625,4285.70849609375,,,33507.0,0.063102
171,2006-01-03,36.20904541015625,4280.1826171875,,,34541.0,0.063305
172,2006-01-06,37.00387954711914,4844.44677734375,,,35475.0,0.056063
173,2006-01-09,37.00387954711914,4848.7451171875,,,35337.0,0.0526
174,2006-01-11,39.565006256103516,5145.30615234375,,,35952.0,0.050893
175,2006-01-12,39.71514129638672,4905.8466796875,,,35779.0,0.049143
176,2006-01-13,40.607120513916016,4850.5869140625,,,35897.0,0.065534
177,2006-01-16,42.8326530456543,4905.8466796875,,,36534.0,0.065534
178,2006-01-17,41.41961669921875,4789.80126953125,,,36119.0,0.065534
179,2006-01-18,40.624786376953125,4659.63330078125,,,35805.0,0.065534
180,2006-01-19,41.06635665893555,5004.08642578125,,,36858.0,0.063001
181,2006-01-20,41.77287673950195,5094.95849609375,,,36695.0,0.063001
182,2006-01-23,41.145843505859375,5053.20654296875,,,36632.0,0.063001
183,2006-01-24,41.41078567504883,5194.42626953125,,,37400.0,0.063001
184,2006-01-25,41.41078567504883,5194.42626953125,,,,0.063035
185,2006-01-26,43.009281158447266,5524.75732421875,,,38014.0,0.063068
186,2006-01-27,44.775577545166016,5403.185546875,,,37822.0,0.063102
187,2006-01-30,45.879512786865234,5267.49169921875,,,38242.0,0.063102
188,2006-01-31,45.83535385131836,5218.3720703125,,,38383.0,0.063102
189,2006-02-01,44.8638916015625,5095.572265625,,,38485.0,0.065635
190,2006-02-02,43.84827423095703,4985.66650390625,,,37304.0,0.063136
191,2006-02-03,42.8326530456543,5096.1865234375,,,37262.0,0.063305
192,2006-02-06,42.39107894897461,5096.1865234375,,,37321.0,0.056028
193,2006-02-08,41.507930755615234,5138.55224609375,,,36499.0,0.054301
194,2006-02-10,44.81973648071289,5197.49609375,,,36975.0,0.052566
195,2006-02-13,45.92367172241211,5372.48583984375,,,36114.0,0.063305
196,2006-02-14,46.80681610107422,5421.60546875,,,36627.0,0.063305
197,2006-02-15,50.295249938964844,5467.6552734375,,,37239.0,0.063305
198,2006-02-16,51.31086730957031,5728.6044921875,,,38256.0,0.063305
199,2006-02-17,51.929073333740234,5771.58447265625,,,38422.0,0.063305
200,2006-02-20,51.655296325683594,5710.1845703125,,,38539.0,0.063305
201,2006-02-21,51.22255325317383,5648.78466796875,,,38166.0,0.063305
202,2006-02-22,47.689964294433594,5740.884765625,,,38246.0,0.063305
203,2006-02-23,46.36524200439453,5679.48486328125,,,38405.0,0.063305
204,2006-02-24,46.36524200439453,5618.0849609375,,,38610.0,0.063305
205,2006-03-01,47.46917724609375,5587.38525390625,,,39178.0,0.065635
206,2006-03-02,48.13153839111328,5611.94482421875,,,39126.0,0.063204
207,2006-03-03,47.689964294433594,5587.38525390625,,,39240.0,0.063305
208,2006-03-07,43.49501419067383,5311.0859375,,,37423.0,0.056063
209,2006-03-08,42.479393005371094,5156.3583984375,,,37289.0,0.054335
210,2006-03-10,45.82652282714844,5115.22021484375,,,36891.0,0.052566
211,2006-03-13,45.48209762573242,5342.39990234375,,,36793.0,0.060758
212,2006-03-14,44.15737533569336,5495.28515625,,,37541.0,0.060758
213,2006-03-15,44.590118408203125,5556.68505859375,,,38244.0,0.060758
214,2006-03-16,45.12883758544922,5661.06494140625,,,38157.0,0.060758
215,2006-03-17,44.42231750488281,5618.0849609375,,,38049.0,0.060758
216,2006-03-20,43.910091400146484,5832.37060546875,,,38204.0,0.060758
217,2006-03-21,43.724632263183594,5740.884765625,,,37398.0,0.060758
218,2006-03-22,44.908050537109375,5925.083984375,,,37851.0,0.060758
219,2006-03-23,45.00519561767578,6097.00341796875,,,37474.0,0.060758
220,2006-03-24,46.992279052734375,6017.18408203125,,,37577.0,0.060758
221,2006-03-27,46.8951301574707,5925.083984375,,,37641.0,0.060758
222,2006-03-28,46.4623908996582,5710.1845703125,,,36682.0,0.060758
223,2006-03-29,46.14445877075195,5710.1845703125,,,37492.0,0.060758
224,2006-03-30,46.35641098022461,5771.58447265625,,,37777.0,0.060758
225,2006-03-31,49.41210174560547,5618.69873046875,,,37952.0,0.060758
226,2006-04-04,51.22255325317383,5802.28466796875,,,38802.0,0.060452
227,2006-04-05,51.22255325317383,5710.1845703125,,,39053.0,0.05792
228,2006-04-07,50.4277229309082,5464.58544921875,,,38926.0,0.056097
